,run,database,workload,record_nbr,type,throughput,throughput_value,runtime,runtime_value
0,run-1,Mongodb,workload a,1000,OVERALL,Throughput(ops/sec),55.5895269331258,RunTime(ms),17989.0
1,run-1,Mongodb,workload a,2000,OVERALL,Throughput(ops/sec),40.28927700892408,RunTime(ms),49641.0
2,run-1,Mongodb,workload a,3000,OVERALL,Throughput(ops/sec),102.29830184818931,RunTime(ms),29326.0
3,load-1,Mongodb,workload i,1000,OVERALL,Throughput(ops/sec),40.17839206074973,RunTime(ms),24889.0
4,load-1,Mongodb,workload i,2000,OVERALL,Throughput(ops/sec),94.67007478935908,RunTime(ms),21126.0
5,load-1,Mongodb,workload i,3000,OVERALL,Throughput(ops/sec),48.88222642247279,RunTime(ms),61372.0
6,run-1,Redis,workload a,1000,OVERALL,Throughput(ops/sec),878.7346221441124,RunTime(ms),1138.0
7,run-1,Redis,workload a,2000,OVERALL,Throughput(ops/sec),1223.2415902140672,RunTime(ms),1635.0
8,run-1,Redis,workload a,3000,OVERALL,Throughput(ops/sec),872.0930232558139,RunTime(ms),3440.0
9,load-1,Redis,workload i,1000,OVERALL,Throughput(ops/sec),832.6394671107411,RunTime(ms),1201.0
10,load-1,Redis,workload i,2000,OVERALL,Throughput(ops/sec),844.2380751371887,RunTime(ms),2369.0
11,load-1,Redis,workload i,3000,OVERALL,Throughput(ops/sec),719.079578139981,RunTime(ms),4172.0
